Id,RiskId,Provider,Species,AnnualPremium,ClaimLimit,AnnualClaimLimit,ExcessLimit,ExcessCoPaymentLimit,UkOnlyCallCentres,DeathByAccident,BoardingFees,LostOrStolen,AdvertisingLimit,ThirdPartyLiability,ThirdPartyLiabilityExcess,HourClaimsService24,VetAdviceLine,LegalAdvice,CoverCategory,CoverStartDate,BereavementCounselling,DeathByIllness,QuarantineCosts,LossOfPetPassport,SetUpFees,AdjustmentFee,DuplicateDocumentsFee,CancellationFee,RenewalFee,TimeStamp,VetFees,VetFeesExcess,MonthlyPremiumInstalment,NumberOfMonthlyInstalments,InstalmentDeposit
17083559,FIX3946,4PawsPetInsurance,Dog,323.95,No limit,"£4,000",£105,30%,True,£500,£500,£500,£500,"£2,000,000",£250,True,True,True,,2023-03-06,False,£500,"£1,500","£1,500",0,0,0,0,15,2023-03-05 12:06:25,,,,,
282047527,FIX3946,Animal Friends,Dog,112.08,"£2,000","£7,000",£159,N/A,True,£750,£750,£750,£200,"£2,000,000",£250,True,True,False,Time Limited,2024-11-10,False,£750,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £2,000 per condition with £7,000 yearly limit",You'll pay £159 per condition,9.34,12,0
282047528,FIX3946,Animal Friends,Dog,115.56,"£2,000",Unlimited,£199,N/A,True,£750,£750,£750,£200,"£2,000,000",£250,True,True,False,Lifetime,2024-11-10,False,£750,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to £2,000 per condition with unlimited number of conditions",You'll pay £199 per condition per year,9.63,12,0
282047529,FIX3946,Animal Friends,Dog,179.4,"£4,000",Unlimited,£199,N/A,True,"£1,000","£1,000","£1,000",£200,"£2,000,000",£250,True,True,False,Lifetime,2024-11-10,False,"£1,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to £4,000 per condition with unlimited number of conditions",You'll pay £199 per condition per year,14.95,12,0
282047530,FIX3946,Animal Friends,Dog,174.6,"£4,000","£10,000",£159,N/A,True,"£1,000","£1,000","£1,000",£200,"£2,000,000",£250,True,True,False,Time Limited,2024-11-10,False,"£1,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £4,000 per condition with £10,000 yearly limit",You'll pay £159 per condition,14.55,12,0
282047531,FIX3946,Animal Friends,Dog,213.72,"£6,000",Unlimited,£249,N/A,True,"£1,500","£1,500","£1,500",£200,"£2,000,000",£250,True,True,False,Lifetime,2024-11-10,False,"£1,500",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to £6,000 per condition with unlimited number of conditions",You'll pay £249 per condition per year,17.81,12,0
282047532,FIX3946,Animal Friends,Dog,76.2,"£1,000","£4,000",£159,N/A,True,£500,£500,£500,£200,"£2,000,000",£250,True,True,False,Time Limited,2024-11-10,False,£500,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £1,000 per condition with £4,000 yearly limit",You'll pay £159 per condition,6.35,12,0
282047533,FIX3946,Animal Friends,Dog,88.8,"£1,000",Unlimited,£159,N/A,True,£500,£500,£500,£200,"£2,000,000",£250,True,True,False,Lifetime,2024-11-10,False,£500,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to £1,000 per condition with unlimited number of conditions",You'll pay £159 per condition per year,7.4,12,0
282047534,FIX3946,Animal Friends,Dog,83.88,"£1,000",Unlimited,£159,N/A,True,£500,£500,£500,£200,"£2,000,000",£250,True,True,False,Max Benefit,2024-11-10,False,£500,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £1,000 per condition with unlimited number of conditions",You'll pay £159 per condition,6.99,12,0
282047535,FIX3946,Animal Friends,Dog,139.2,"£2,000",Unlimited,£159,N/A,True,£750,£750,£750,£200,"£2,000,000",£250,True,True,False,Max Benefit,2024-11-10,False,£750,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £2,000 per condition with unlimited number of conditions",You'll pay £159 per condition,11.6,12,0
282047536,FIX3946,Animal Friends,Dog,151.68,"£4,000",Unlimited,£249,N/A,True,"£1,000","£1,000","£1,000",£200,"£2,000,000",£250,True,True,False,Max Benefit,2024-11-10,False,"£1,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £4,000 per condition with unlimited number of conditions",You'll pay £249 per condition,12.64,12,0
